大会年度,セッションID,発表ID,発表タイトル,発表サブタイトル,キーワード,要約
2020,1I4-GS-2,1I4-GS-2-02,再帰型ニューラルネットワークによる航空券の需要予測,,深層学習、再帰型ニューラルネットワーク、長期短期記憶,本研究では、機械学習を用いて航空券の過去の販売実績からその後の需要予測を行うシステムを構築することを目的とする。機械学習の手法としては、再帰型ニューラルネットワークの学習モデルであるSequence to Sequenceを用いて予約状況を学習し、その学習モデルを用いて約２か月の予約状況から次の約2か月分の各予約クラスの航空券の需要を予測した。実験の結果、予測によって得られた航空券の残り枚数と、実際の残り枚数の誤差が２以下である割合が８割を超え学習の効果が確認できた。本学習モデルで予測を行った結果、需要のおおよその変化の傾向は捉えられており、座席クラスによっての違いも見られた。また、旅行会社にとって重要である航空券の有無の予測も高い精度で予測が的中していることが確認できた。
2020,1I4-GS-2,1I4-GS-2-03,ダイナミックトピックメモリネットワーク：心的内部状態の変化を捉えた時系列行動予測,,ダイナミックメモリネットワーク、エピソード記憶、時系列、行動予測,"位置情報を用いた広告配信の最適化のため, 過去のユーザーの行動履歴を元にした行動予測を行う. 行動予測の分野では, ユーザーの外部に現れている行動履歴を時系列で捉えた研究は発展しているが, ユーザーの心的内部状態の変化を時系列で捉えた研究は不十分である. そこで, 本研究では外部メモリにユーザーの複数の心的内部状態の変化を捉えるモデルを提案する. 実験では, ユーザーが今後訪れる場所の予測を行う. 外部メモリによって心的内部状態の変化を捉えることによる有効性を比較実験における精度向上によって示す. また, 実験により複数の心的内部状態の変化を捉えることの重要性を示す."
2020,1I4-GS-2,1I4-GS-2-04,ビジネスチャットの会話履歴データに基づく社員間のネットワーク分析モデル,,ネットワーク分析、ビジネスチャットデータ、多次元ホークス過程,社会的な関係性をネットワークとして可視化することは，集団と個人のふるまいを理解する上で重要となる．本研究で対象とするのは，社員をノード，社員間のつながりをエッジとした社員間ネットワークである．このネットワークの構築は，職場の人間関係を理解し，適切なチームマネジメントを行うのに有用である．社員間ネットワークの構築には，従来使用されたアンケートやE-mailデータではなく，近年急速に広まったビジネスチャットアプリ(Slack等)上の会話履歴データを用いる．本研究では，チャットアプリ上の会話履歴データから社員間の関係性を定量化し，社員間ネットワークとして可視化する手法を提案する．具体的には，「関係性の強い社員同士はアプリ上で隣接した時刻に発言を行う」という仮定を置き，点過程モデリングの一種である多次元ホークス過程モデルを用いて関係性の定量化を行い，ネットワークモデルを構築する方法を示す．提案モデルの有効性を検証するため，実企業のSlack会話履歴データを用いて，提案モデルによって社員間のネットワークを構築し，ネットワークの分析から組織戦略上有効な知見が得られることを確認した．
2020,1I4-GS-2,1I4-GS-2-05,道路ネットワークの特徴量分析とその生成,,道路ネットワーク、特徴量、L-system、機械学習,地図情報を用いた交通流シミュレーションを実施しようとする際、実在する道路ネットワークに近い特徴を持つ仮想の道路ネットワークを用いると都合がよいことがある。本研究の目的は、実在する道路ネットワークをモデルとし、そのモデルの特徴量を再現する仮想道路ネットワークを生成することである。実在する道路ネットワークのデータはフリーの地図情報データベースであるOpenStreetMapから取得した。取得したデータから道路ネットワークの特徴量を求め、その特徴量を持つ仮想道路ネットワークはL-systemにより生成した。L-systemの入力パラメータは機械学習による回帰によって求めた。複数の都市の道路ネットワークをモデルとして実験を行った結果、L-systemのパラメータを適切に定めることで、定義した道路ネットワークの特徴量のうち、複数の特徴量を再現するような仮想道路ネットワークを生成できることを確認できた。
2020,1I5-GS-2,1I5-GS-2-01,組合せ的行動空間におけるアウトカム予測,,因果効果推定、観察データ、ドメイン適応,意思決定支援において、個々の対象に対する介入行動の結果の予測は中心的な課題である。例えば、医師がある患者に対してある医療措置を実施するかどうか検討する際に、実施した場合としなかった場合のそれぞれの結果を予測することが考えられる。近年、因果推論と反事実的機械学習の分野において、観察データ、すなわち患者の属性と医師の実際の措置と結果からなるデータから個別措置効果、すなわち個々の患者に対してある医療措置を実施した場合としなかった場合の差を推定する手法が提案されている。しかしながら、既存法の多くは二値など限定的な措置空間、すなわち特定の医療措置を実施した場合としなかった場合のみ考慮されており、処方する薬の組合せを考える場合など多数の措置候補がある場合に対しては適用が困難であった。この限界を克服し、組合せ的な措置空間に対して措置結果を予測する手法を提案し、措置空間を増やした場合に既存法より精度よく推定できることを実験的に示す。
2020,1I5-GS-2,1I5-GS-2-02,脳波を対象とした深層ニューラルネットの可視化による構造発見,,深層学習、脳波、可視化,以前から脳波（EEG）は脳内部活動の情報を保持すると考えられ，脳内部活動の調査や医療向けBCIへの応用などに用いられてきたが，EEGは複数の異なる主観的状態の集積であり，体動などによるノイズも多い．そのため，EEGの分析では専門家の熟練した高度な技能によってノイズ除去や結果の解釈がなされてきた．一方，深層学習（DNN）は高精度な機械学習の手法として盛んに研究が行われている．DNNには高度な特徴抽出機能が備わるが，学習したモデル内部でその機能がどのように働いているか不明確である．DNN内部の可視化を試みる研究が行われているものの，そのような研究は特徴抽出がモデル作成者の意図するものであるか確認するため用いられる．本研究では，識別精度が高いほど一貫性のある可視化結果を得ることができると仮定し，複数回の学習による識別精度毎のモデル可視化結果を比較する．それにより，同一の現象に対するDNNの可視化結果から対象となる現象に固有の構造を顕在化させる手段を検討した．実験ではEEGから事象関連脳電位(ERP)を識別する学習を行い，モデルの可視化分析からERPの研究において既知の特徴的な構造が得られた．
2020,1I5-GS-2,1I5-GS-2-03,ディープ多層構造型GMDH-typeニューラルネットワークとCNNを用いた胸部画像の医用画像解析,,ディープニューラルネットワークス、医用画像解析,本研究では、ディープ多層構造型GMDH-typeニューラルネットワークとコンボリューショナルニューラルネットワーク(CNN)を用いて胸部画像の医用画像解析を行った。ディープ多層構造型GMDH-typeニューラルネットワークは著者らのグループにより開発され、ディープニューラルネットワーク構造を自動的に自己組織することができる。そして、いろいろな臓器の医用画像認識や、肝臓がんや肺がんなどの医用画像診断などに応用することができる。本研究では、胸部臓器（心臓、肝臓、骨）の画像認識とその領域抽出に応用しその有効性を確認した。このアルゴリズムでは、有用な入力変数の自己選択機能を備えており、CNNにより作成した画像特徴量と、従来からよく使われている画像特徴量や位置情報などを合わせて入力変数として用い、すべての変数の組み合わせを発生させて有用な変数の組み合わせのみを自己選択し、ネットワーク構造を自己組織している。そして、予測誤差評価基準（情報量基準AICや予測誤差平方和PSS）を最小にするようにハイパーパラメータ（多層構造の層の数、活性化関数、有用な入力変数など）を自己選択している。
2020,1I5-GS-2,1I5-GS-2-04,動画からオブジェクトの運動特徴量を抽出する教師なし双方向表現学習,,機械学習、動画生成、敵対的生成ネットワーク、深層学習,動画データの特性は，各画像が時間連続性をもつことであり，物体の運動やパターンの変化を捉えた情報が含まれている．これを陽に表現・獲得する手法は，動画分類や動画予測にとって有用である．本研究では，動画中に一貫して現れるオブジェクトに対して，オブジェクトの運動情報のみを表現する特徴量を抽出する手法を提案する．提案手法では，オブジェクトに対応する潜在変数とオブジェクトの運動情報に対応する特徴量を用意し，敵対的生成モデルを用いて，データと特徴量との入出力関係を双方向に学習させることで，特徴抽出器とデータ生成器を同時獲得する．実験として，特徴抽出器を用いて動画のクラスタリングを行い，提案手法によって獲得された特徴量がオブジェクトの運動を適切に捉えているかどうかを検証する．
2020,1I5-GS-2,1I5-GS-2-05,敵対的生成ネットワークを用いた和洋折衷の壁紙生成,,画像生成、Conditional StyleGAN、スタイルミックス、深層学習、武田五一,"和風と洋風の様式を共に取り入れることを和洋折衷と呼ぶ．建築家・武田五一も取り入れた手法であり，使われるシーンは多岐にわたる．こういった創造的なタスクは，AIにとって重要かつ困難なテーマである．近年のGANの発展は目覚ましく，StyleGAN (Karras, Laine, and Aila, 2018)では異なる生成画像の特徴をミックスできることが示された．本研究ではこれを応用し，和風と洋風という異なるスタイルの壁紙をミックスすることによって，武田五一らしい和洋折衷の壁紙を生成することを目的とする．具体的な手法として，和風と洋風の壁紙画像をConditional StyleGAN (Oeldorf and Spanakis, 2019)によって生成し，双方をミックスすることで，和洋折衷を行う．このタスクでは単純に和風と洋風をミックスすれば良いのではなく，調和させることが重要である．そこで和洋折衷におけるミックスバランスについて評価し，結果として双方の特徴を兼ね備えた和洋折衷感のある壁紙が生成できることを示した．"
2020,1J3-OS-10,1J3-OS-10-01,ハイパーパラメータ最適化のための凸最適化理論とアルゴリズム：AutoMLでの活用へ向けて,,AutoML,機械学習の多くは最適化問題として定式化されるが、実際には、最適化問題に付随するさまざまなパラメータ（ハイパーパラメータと呼ばれる）が存在しており、ハイパーパラメータのチューニングも必要となる。ハイパーパラメータの候補を用意し、それぞれのハイパーパラメータごとに最適化を行うナイーブなアプローチでは、多くの最適化問題を解かなくてはならず計算コストが増大してしまう。凸最適化の分野では、ハイパーパラメータを変化させたとき、最適解がどのように変化するかを研究する分野があり、この分野で確立された技術を用いることで効率的にハイパーパラメータチューニングを行える。現在の人工知能システムの主流である深層学習は非凸最適化問題であるため、これらの凸最適化の技術をそのまま利用することはできないが、解の局所的な振る舞いを局所凸近似することにより、凸最適化理論・技術を非凸最適化のハイパーパラメータチューニングにも活用できる可能性がある。本講演では、凸最適化理論に基づくハイパーパラメータチューニングの理論とアルゴリズムを紹介し、これらの技術の深層学習への活用を議論したい。
2020,1J3-OS-10,1J3-OS-10-02,深層学習のハイパパラメータ最適化手法に求められる性質,,ハイパパラメータ最適化、ブラックボックス最適化、深層学習,昨今，画像認識等の分野において深層学習が著しい発展を遂げており，実世界においても応用が進んでいる．しかし，深層学習の性能は事前に設定する必要のあるハイパパラメータによって大きく左右されるため，ハイパパラメータ最適化が重要である．深層学習のハイパパラメータを効果的に最適化するためには探索空間の特徴を知る必要がある．本稿ではまず5次元のハイパパラメータ空間の探索と各点における深層学習の性能評価を行った．探索の結果得られたハイパパラメータと性能の関係性を回帰モデルで表現し，探索空間の特徴づけを行った．得られた特徴に基づいて，ブラックボックス最適化的な観点からハイパパラメータ最適化に求められる性質を紐解く．結論では実験から得られた知見に基づいてハイパパラメータ最適化の文脈で今後力を入れて取り組むべき問題を明らかにする．
2020,1J3-OS-10,1J3-OS-10-03,深層マルチモーダルニューラルネットワークを対象とした勾配ベースの構造探索,,人工知能、ニューラルアーキテクチャサーチ、マルチモーダル学習,本論文は，深層マルチモーダルニューラルネットワークを対象とした勾配ベースの構造探索法を提案する．勾配ベースの構造探索法であるDifferentiable Architecture Search(DARTS)は連続的な探索空間を定義することで，勾配降下法を用いた効率的なニューラルネットワークの構造探索を可能にしている．本研究はDARTSを拡張した研究であり，深層マルチモーダルニューラルネットワークのための連続的な探索空間を提案する．提案した探索空間における与えられたデータセットのための最適な構造を探索するために，勾配ベースの構造探索法を用いた．また，本研究は探索空間にLong Short-Term Memory(LSTM)を含めることで，可変長のマルチモーダルデータを入力とするマルチモーダルニューラルネットワークの探索を可能としている．時系列性のある，感情認識のためのデータセットであるMOSIデータセットにおいて，従来の人の手によって設計されたネットワークに近い性能のネットワークを探索することができた．
2020,1J3-OS-10,1J3-OS-10-04,ハイパパラメータ最適化における識別精度向上と計算コストの定量評価,,ハイパパラメータ最適化、Automated Machine Learning(AutoML)、投資対効果,近年，深層学習の研究分野では，機械学習のシステム工程を自動化することを目的としたAutomated Machine Learning(AutoML)と呼ばれる研究が盛んに行われている．AutoMLの研究テーマの一つであるハイパパラメータ最適化は学習性能に大きな影響を与える．一方で，膨大な計算コストが必要になるため，実社会のシステムにパイパパラメータ最適化を導入する際，最適化によって得られる経済効果と導入に要する投資費用の費用対効果について議論する必要がある．本稿では，画像識別問題に対してパイパパラメータ最適化を行い，最適化によって得られる識別精度の向上と計算コストを明らかにする．さらに，最適化によって得られる識別精度の向上から経済効果を推定することで，画像識別問題に対するハイパパラメータ最適化の費用対効果を定量的に評価できる可能性を示す．
2020,1J4-GS-2,1J4-GS-2-01,メタ学習によるニューラルネットワークの感度解析,,データ前処理、自動機械学習、メタ学習,機械学習は高い予測精度が得られる一方で、モデルがブラックボックスとなる場合があり、入力と出力の関係の解釈性に問題を抱えている。モデルの入出力を可視化する手法として、PDP、ICE Plot、Forest Floorなどが提案されてる。本研究では、モデルに依存しない感度解析について検討することを目的とする。モデルに依存することなく、モデルの学習を効率化するメタ学習は、モデルの学習方法を学習するプロセスであり、MAML、OpenAI Reptileなどの手法が提案されている。OpenAI reptileを用いてニューラルネットワークの感度解析の実験を行い、その結果について考察した。
2020,1J4-GS-2,1J4-GS-2-02,カテゴリ毎にAuto Encoderを用いるDeep Neural Networkの構築法に関する一考察,,ディープニューラルネットワーク、事前学習、多値分類問題、自己符号化器、Deep ECOC,近年，Deep Neural Network（以下，DNN）と呼ばれる手法が注目を浴びている．この手法において，学習の初期値は得られる結果の精度に影響を与える．そのため，Pre-trainingにより初期値を求めFine-tuningを行う手法が提案されている．この手法の1つにDeep ECOCがある．これは，多値分類のために，Support Vector Machine（以下，SVM）による学習をPre-trainingとしたものである．この手法では，あるカテゴリとその他のカテゴリを分けるSVMの学習結果をDNNの初期値として用いている．つまり，このSVMは各カテゴリの特徴を捉える形と捉えることができる．本研究では，この考え方を援用し，カテゴリ毎にその特徴を表現するDNNに分岐させることにより，精度向上を目指す．そこで，各カテゴリの特徴を表現するPre-training としてAuto Encoderを用いることを提案する．そして，この結果を用いてDNNを再学習する．これらの提案手法の有効性を検証するために，新聞記事データを用い，評価実験を行う．
2020,1J4-GS-2,1J4-GS-2-03,HyLIM: ハイブリッドな線形手法による推薦システムの提案,,推薦システム、暗黙的フィードバック、コールドスタート問題,本研究は、暗黙的フィードバックを元にする推薦アルゴリズムとして、シンプルでありながら高い精度を誇るSLIM (Sparse Linear Method) や EASE (Embarassingly Shallow Auto-Encoder) を自然に拡張した手法である、「ハイブリッドな線形手法」 HyLIM  (Hybrid Linear Method) を提案する。そのため、まずはHyLIMを最適化問題として定式化したのち、その解を閉じた形で求める。また、提案手法が実際にユーザーに関する補助情報を用いて精度を向上させることを確かめるため、(ユーザー・アイテム双方の補助情報が入手可能な)実世界データを用いて、その評価を行う。
2020,1J4-GS-2,1J4-GS-2-04,時系列データに対する予測モデルの介入効果の推定,,因果分析、機械学習、介入効果,操作変量を説明変数に含む機械学習の予測モデルに対して，モデルの重みや偏微分などの解釈から貢献度の高い操作変量を特定し，実際の操作へ繋げるという実応用がなされている．一方で予測モデルは予測対象の裏にあるデータの因果関係を考慮していないため，予測精度が高い場合でもモデルへの介入効果は実際のシステムと異なる可能性がある．Blobaumらの研究では回帰モデルと因果グラフを組み合わせることで，予測モデルの予測値を目標値に近づける介入値を因果グラフを通じて得るフレームワークが提案している．本研究ではこのフレームワークを用いて，時系列モデルと時系列因果グラフに対する介入効果を得る手法を提案する．時系列データに対して回帰モデルのみと提案手法で得られる介入による回帰モデルの予測値と目標値の誤差を人工データ及びシミュレーションデータに対して比較した．
2020,1J4-GS-2,1J4-GS-2-05,少数のShapeletに基づく時系列データ分類手法,,時系列データ分類、時系列データ、シェイプレット,Shapeletと呼ばれる部分時系列に関する研究が注目を集めている．近年Shapeletに基づく研究では，特徴量変換として用いることで，Shapelet特有の解釈性を持ちながら分類精度の大幅な向上を示された．しかしながら，これらの手法を大きなデータセットに適用した際，数百以上のShapeletを要求する．そうした場合，Shapeletの利点の1つであった分類根拠の透明性が大きく損なわれてしまう．分類結果を解釈するときに我々が知りたいのは，せいぜい数個のShapeletのはずである．本研究ではShapeletに基づくルールと深層学習手法を組み合わせることで，Shapeletの数を少数に制限可能な新しい分類手法を提案する．実験により，従来のShapeletに基づく分類手法と同等以上の精度を発揮することを確認した．
2020,1J5-GS-2,1J5-GS-2-01,TensorShader : 高次元ニューラルネットワーク深層学習フレームワーク,,深層学習、高次元ニューラルネットワーク、GPGPU,"近年, 複素数や四元数などの多元数を基とする高次元ニューラルネットワークの研究が進められている. 一方で, 高次元ニューラルネットワークをGPUで扱うことのできる深層学習フレームワークは未だに少なく, 実験の障壁となっている. そこで本研究では，複素数，四元数，3次元ベクトルを基とする深層学習フレームワークを開発した．このフレームワークでは, 高次元ニューラルネットワークを実装する際に課題となる一時計算領域の肥大を解消するため専用のCUDAカーネルを実装し, さらに丸め誤差の蓄積を避けるためFP32-FP32演算を採用した．これらにより，既存のフレームワークに比べ空間計算量と計算誤差の低減について優位であることを示す."
2020,1J5-GS-2,1J5-GS-2-02,構造を持つラベルに対する計算効率の高いワッサーシュタイン損失,,機械学習、階層データ、グラフ,ある入力に対して条件付き確率分布を推定する問題は様々な場面で現れ、特に入力に対してラベルの確率分布を推定する問題はLabel Distribution Learningとして研究されている。Wasserstein距離は確率分布のサポートに付随する距離構造を考慮しながら分布間距離を測る方法で、ラベル空間に距離構造が入っている分布推定での有用性が確認されている。本研究では、ラベル空間に単純な距離構造ではなくグラフや階層構造が入っている分布推定に対してWasserstein距離を用いること考える。一般に計算量の点からWasserstein距離をサポート点が多い場合に適用することは困難である。一方で、サポートが木構造持っている場合は距離行列を必要せずに木構造のみから高速に計算できる。この事実を利用して効率的にWasserstein距離を計算し、損失関数として利用することを提案する。実験では、提案法をラベルがグラフや階層構造を持つ分布推定問題に適用し、提案法が対象の持つ構造を正しく考慮できていること、また既存のWasserstein損失よりも計算効率が高いことを示す。
2020,1J5-GS-2,1J5-GS-2-03,高次元データにおける深層生成モデルの低次元表現を利用した分布外検知,,分布外検知,分布外検知はテスト時に訓練データの分布以外の入力サンプルを検知するタスクである．入力が低次元データであれば，訓練データを密度推定することで，密度の小さい部分を分布外であると容易に推定することができる．一方，入力が高次元データのとき次元の呪いがおこるため，密度推定は困難になり分布外検知をすることが難しい．そのため，深層生成モデルを利用して，高次元データを低次元の潜在空間上に写像し，その空間上で分布外検知をする方法を考える．しかし，モデルは訓練データ以外での学習はできないため，テスト時の訓練分布外のデータが潜在空間上においても訓練分布から離れた場所に写像される保証はない．そこで，訓練分布外のデータでも再構成できるモデルを利用すれば，そのデータが潜在空間上でも訓練分布から離れた場所に適切に写像されるという仮説をたてる．我々はそのモデルとしてVQVAEを用いることを提案する．実験では，VQVAEが訓練分布外のデータを入力として利用したとしても，もとの画像を大きく損なわずに再構成できることを確かめる．さらに，VQVAEで得られる低次元の潜在変数を利用して，分布外検知が可能であることを確かめる．
2020,1J5-GS-2,1J5-GS-2-04,高次元ブラックボックス最適化のための曲率推定に基づく座標選択CMA-ES,,ブラックボックス最適化、進化計算、機械学習,本論文では，CMA-ESを用いた高次元ブラックボックス最適化において，目的関数の推定された曲率に基づく座標選択法を提案する．ブラックボックス最適化においては，目的関数の変数間の依存関係や悪条件性に適応可能なアルゴリズムが求められる．CMA-ESは，分散共分散行列を用いることで，変数間の依存関係に適応可能であるが，高次元空間では悪条件性に適応できないことが報告されている．本手法では，最適化の過程で推定された曲率が近い変数毎にパラメータの更新を行うことで，変数間の依存関係と悪条件性の双方を考慮した最適化を目指す．実験では，ベンチマーク関数を用いて，目的関数の性質毎に，既存のCMA-ESとの比較を行い，提案手法の性質を確認した．
2020,1J5-GS-2,1J5-GS-2-05,正規マルコフ確率場による非剛体点集合レジストレーションの定式化,,点集合レジストレーション、形状マッチング、正規マルコフ確率場,点集合レジストレーション問題とは，２つの物体形状に対し形状を表現する特徴点の対応関係を推定する問題である．Coherent Point Drift はその推定精度の高さと計算の高速さを両立した非剛体点群レジストレーションアルゴリズムとして非常によく知られている．一方で，解決されるべき問題が理論的な観点と実用的な観点の両面で存在する．本研究では，これらの問題を克服するための Coherent Point Drift の新たな定式化について報告する.
2020,1K3-ES-2,1K3-ES-2-01,Spatio-Temporal Change Detection Using Granger Causal Relation,,"pattern mining, co-occurrence relation, event detection","We proposed a method to detect a change in causal relations over a multi-dimensional sequence of events. The method makes use of the proposed modified cluster sequence mining algorithm to extract causal relations in the form of cluster sequence patterns: a pair of clusters of event that has their occurrence time determined significant by Granger causality. We proposed a pattern time signature, a cumulative incidence function of the cluster sequence occurring at any given time. The pattern time signature allows us to infer the appearance and disappearance time of each cluster sequence pattern. We validated our method using synthetic data. The result shows that our algorithm can correctly identify the change in causal relation even under noisy data."
2020,1K3-ES-2,1K3-ES-2-02,Predicting Talent Breakout Rate using Twitter and TV data,,"Deep Learning, Regression, Data engineering, Trend prediction, Twitter","Early detection of rising talents is of paramount importance in the field of advertising. In this paper, we define a concept of talent breakout and propose a method to detect Japanese talents before their rise to stardom. The main focus of the study is to determine the effectiveness of combining Twitter and TV data on predicting time-dependent changes in social data. Although traditional time-series models are known to be robust in many applications, the success of neural network models in various fields (e.g Natural Language Processing, Computer Vision, Reinforcement Learning), continues to spark an interest in the time-series community to apply new techniques in practice. Therefore, in order to find the best modeling approach, we have experimented with traditional, neural network and ensemble learning methods. We observe that ensemble learning methods outperform traditional and neural network models based on standard regression metrics. However, by utilizing the concept of talent breakout, we are able to assess the true forecasting ability of the models, where neural networks outperform traditional and ensemble learning methods in terms of precision and recall."
2020,1K3-ES-2,1K3-ES-2-03,Tree Model Induction from Texts in Discharge Summaries,,テキストマイニング、決定木、退院時サマリ,"This paper investigates the characteristics of decision trees for  discharge summaries  classifier, focusing on (1) selection of features in text mining and (2) splitting measures. The results shows that decision tree induction methods select attributes independently of the importance obtained by morphological analysis, which have small changes in the choice of splitting meatures. Thus, decision tree methods are found to be the simplest and powerful methods for mining classification knowledge from discharge summaries."
2020,1K3-ES-2,1K3-ES-2-04,A Preliminary Analysis of Offensive Language Transferability from Social Media to Video Live Streaming,,"Offensive language, Transfer learning, Deep learning, Social media, Twitch","Given the growing popularity of online games and eSports, the young generation is increasingly enjoying its video live streaming service. Streaming channels are usually combined with chat rooms, where offensive conversations often appear against the streamer or audience. Such offensive languages may cause many serious impacts on a victim’s life and even lead to teen suicide. One method of detecting offensive language is to use deep learning techniques. This research aims to detect offensive language appearing in video live streaming chats. Focusing on Twitch, the most popular live streaming platform, we created a dataset for the task of detecting offensive language. We collected 2000 chat posts across four popular game titles with genre diversity (i.e., competitive, violent, peaceful). Making use of the similarity in offensive languages among social media, we adopt the state-of-the-art models trained over the offensive language on Twitter to our Twitch data (i.e., transfer learning). Our results show that transfer from social media to live streaming is possible. However, the similarity of chat posts or target contents does not help to predict the tranferability with limited data."
2020,1K4-ES-2,1K4-ES-2-01,Human Action Classification using Object Detection and Voice Recognition in Industrial Environments,,"You Only Look Once (YOLO), video analytics, human action recognition, Convolutional Neural Network, frequency analysis","This paper proposes an approach that aims to detect and classify the daily actions of workers in a factory using monocular cameras. In this context, the set of actions to be detected is limited to drilling works. Towards this end, we propose an object detection method using YOLOv3 and a motion detection and classification method using the sound information included in the videos. As a result, it becomes possible to calculate the actual work time more accurately. In specific, the proposed approach is able to detect and classify various actions of work, including the detection of drilling work in industrial workspaces, such as factories, by only using one general monocular camera, with an improved efficiency."
2020,1K4-ES-2,1K4-ES-2-02,Human Action Recognition in Office Environments,,"human action recognition, object detection, You Only Look Once(YOLO),  Convolutional Neural, Brute Force matcher","This paper proposes an approach for classifying the actions of workers in office environments. The ultimate goal is to automatically calculate the working hours of workers and their other activities. Knowing what the workers are doing from each frame of the video during desk work makes them possible. In order to achieve this goal, we use You Only Look Once(YOLO) as an object detection method and Brute-Force Matcher as a prediction method. Using the proposed approach, videos are classified into six categories: ""PC work"", ""calling"", ""writing"", ""stretching"", ""sleeping"", and ""others"". In order to evaluate the proposed approach, we measure the accuracy by taking videos that assume desk work. The experimental results show that the proposed approach is more accurate than prediction using YOLO only."
2020,1K4-ES-2,1K4-ES-2-03,Estimation of Value-at-Risk for bank portfolio by using Markov Chain Monte Carlo method,,Value-at-Risk、Markov Chain Monte Carlo、percentile estimation,"Value-at-Risk models (VaR) are widely used in bank risk management practice. VaR models come from the field of “worst statistics” and help to understand the worst loss with a certain probability. After the last major financial crisis of 2007-2008, the regulators tried to modify existing models for risk assessment. VaR models were criticized by many researchers and new modified models, such as conditional VaR, Expected Shortfalls (ES), were proposed. One of the major drawbacks of VaR models is low sensitivity to the tails of the returns’ distribution. In this work, we propose Gibbs sampling for efficient sampling from the joint distribution of returns. Gibbs sampling belongs to the family of Markov Chain Monte Carlo (MCMC) methods which use Markov chains to create random walks while sampling from the target distribution. We considered multivariate distribution of returns for a portfolio consisting of several instruments. For this purpose, we simulated a situation of 3 instruments-portfolio with known Covariance matrix under the normality assumption of the marginal distributions. After calculating the conditional probabilities, we ran Gibbs sampler and succeeded to achieve marginal distributions allowing further VaR calculation."
2020,1K4-ES-2,1K4-ES-2-04,STBM: Stochastic Trading Behavior Model for Financial Markets Based on Long Short-Term Memory,,"Deep Learning, Data Mining, High-frequency Trade, Market-making, Clustering","In this study, we propose a stochastic model for predicting the behavior of financial market traders. First, using real ordering data that includes masked traders' IDs, we cluster the traders and select a recognizable cluster that appears to employ a high-frequency traders' market-making (HFT-MM) strategy. Then, we use an LSTM-based stochastic prediction model to predict the traders' behavior. This model takes the market order book state and a trader's ordering state as input and probabilistically predicts the trader's actions over the next one minute. The results show that our model can outperform both a model that randomly takes action and a conventional deterministic model. Herein, we only analyze limited trader type but, if our model is implemented to all trader types, this will increase the accuracy of predictions for the entire market."
2020,1K4-ES-2,1K4-ES-2-05,Analysis of Value and Momentum Factors in Japanese Government Bond and Stock Index Using Machine Learning,,"Machine Learning, time series analysis, price forcasting","There have been many studies seeking to predict excess returns in financial time series data. Nevertheless, not many studies have focused on applying machine learning approaches among factors in different asset classes. The main objective of this paper is to analyze whether a predictability of return in financial products could be improved by considering factors obtained from other asset classes, and to indicate the effectiveness of machine learning in financial time series prediction. We targeted 10-year Japanese Government Bond(10-year JGB), and Nikkei Stock Average Index, implementing non-linear machine learning approaches as well as conventional multiple linear regression models to predict returns in both assets. The results suggest that considering factors from other asset classes could improve return prediction both in 10-year JGB and Nikkei Stock Average, especially when using non-linear approaches."
2020,1K5-ES-2,1K5-ES-2-01,Predicting the NBA winning percentage base on the linear regression model,,"regression model, stepwise regression, sigmoid function, NBA","This study analyses the NBA regular season result from 2015-19. Traditional statistical data are used as explanatory variables to establish linear regression models. We use the two team's score intervals predicted by ourmodels as the win rate indicator. By using stepwise regression methods to organize the data can eectively improve model accuracy. Experiment results show a 49% of correctness for predict a match with multiple games, and a 92% correctness with at most one game dierence. The main factor of causing incorrect prediction is also recognized as the imbalance competition system."
2020,1K5-ES-2,1K5-ES-2-02,Forecasting Item-level Retail Sales Demand Using Combination Model,,小売り、組み合わせ予測、機械学習、古典的な時系列モデル,"The accuracy of sales demand forecast at item-level is a big issue for inventory management in retail industry, especially in e-commerce domain where forecasting becomes more difficult because of vast array of items, frequent promotions and unexpected event. In this paper, we propose a combination forecast model which integrates some cutting-edge forecast methods, such as decomposition model like Prophet and machine learning methods like XGBoost and CatBoost as well as some classical statistical methods. In order to handle massive data efficiently, we use a new light-weight weighting method to combine single models. We test the model based on real sales data set on long time span, and results show the combination method is superior to any single method in both stability and accuracy."
2020,1K5-ES-2,1K5-ES-2-03,オンライン広告のオーディエンスセグメンテーションにおける統合学習モデル,,ニューラルネットワーク、インタネット広告、異種特徴量、マルチモーダル学習,"オンライン広告のオーディエンスセグメントは, 一般的にwebの行動履歴やcookieなどの識別子から生成される. これらのセグメントは, 広告ターゲティングだけでなく, その他の配信の最適化にも使用される. しかし, これらのセグメントは大規模かつデータの種類が異なるため, 特徴量として使う際に統合が困難である. 一般的に高い精度を実現するためには, 手動の特徴量エンジニアリングが必要である. また, 従来の分類モデルでは, webの行動履歴やテキストなどといった, 異なる種類の特徴量の学習が困難である. そこで, 私達は統合学習モデルを提案する. このモデルは, Radical Basis Function Network ( RBFN ), Deep Network ( DN ), Recurrent Network ( RN )によって, それぞれ別々の特徴量を用いて学習し, 統合するモデルである. 本稿では, オンライン広告の2つのデータセットを用いた実験で, 疎な特徴量に対して一般的なアンサンブル木モデルより提案した統合学習モデルの有効性があることを検証した."
